locus_tag	ftype	length_bp	gene	EC_number	COG	product
MNONLJBP_00001	CDS	291				hypothetical protein
MNONLJBP_00002	CDS	1392				hypothetical protein
MNONLJBP_00003	CDS	870		1.-.-.-	COG2175	Putative dioxygenase
MNONLJBP_00004	CDS	552				putative protein
MNONLJBP_00005	CDS	1599		6.2.1.-	COG0318	Putative fatty-acid--CoA ligase FadD10
MNONLJBP_00006	CDS	249				putative protein
MNONLJBP_00007	CDS	7539	dltA_1	6.2.1.54		D-alanine--D-alanyl carrier protein ligase
MNONLJBP_00008	CDS	1923			COG3336	putative protein
MNONLJBP_00009	CDS	2259	ctpB_1	3.6.3.-	COG2217	Cation-transporting P-type ATPase B
MNONLJBP_00010	CDS	1515				hypothetical protein
MNONLJBP_00011	CDS	285				hypothetical protein
MNONLJBP_00012	CDS	1197			COG0523	putative protein
MNONLJBP_00013	CDS	4878	ctpI_1	3.6.3.-	COG0474	putative cation-transporting ATPase I
MNONLJBP_00014	CDS	243				hypothetical protein
MNONLJBP_00015	CDS	1491				hypothetical protein
MNONLJBP_00016	CDS	750	glpG_1	3.4.21.105		Rhomboid protease GlpG
MNONLJBP_00017	CDS	2025				hypothetical protein
MNONLJBP_00018	CDS	957	rmd_1	1.1.1.281		GDP-6-deoxy-D-mannose reductase
MNONLJBP_00019	CDS	624	gmhA_1	5.3.1.28	COG0279	Phosphoheptose isomerase
MNONLJBP_00020	CDS	639	hisB_1	3.1.3.15		Histidine biosynthesis bifunctional protein HisB
MNONLJBP_00021	CDS	1161	hddA_1	2.7.1.168		D-glycero-alpha-D-manno-heptose 7-phosphate kinase
MNONLJBP_00022	CDS	189				hypothetical protein
MNONLJBP_00023	CDS	756	ldtA_1	2.3.2.-	COG1376	L,D-transpeptidase 1
MNONLJBP_00024	CDS	945	oxyR_1			putative hydrogen peroxide-inducible genes activator
MNONLJBP_00025	CDS	1719	oxc_1	4.1.1.8	COG0028	Oxalyl-CoA decarboxylase
MNONLJBP_00026	CDS	1578	sauT_1	6.2.1.-	COG0318	putative sulfoacetate--CoA ligase
MNONLJBP_00027	CDS	2145			COG0480	Elongation factor G-like protein
MNONLJBP_00028	CDS	435				hypothetical protein
MNONLJBP_00029	CDS	183				hypothetical protein
MNONLJBP_00030	CDS	369				hypothetical protein
MNONLJBP_00031	CDS	1644				hypothetical protein
MNONLJBP_00032	CDS	1068				hypothetical protein
MNONLJBP_00033	CDS	1806	treS_1	3.2.1.1	COG0366	Trehalose synthase/amylase TreS
MNONLJBP_00034	CDS	1368	mak_1	2.7.1.175		Maltokinase
MNONLJBP_00035	CDS	780				hypothetical protein
