# BUSCO version is: 6.0.0 
# The lineage dataset is: mycobacterium_odb12 (Creation date: 2025-05-14, number of genomes: 172, number of BUSCOs: 1512)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
500at1763	Complete	NODE_78_length_15420_cov_24.900736	779	4363	+	2327.9	1149
1191at1763	Complete	NODE_15_length_78221_cov_25.797029	35802	32383	-	2041.3	1096
1543at1763	Complete	NODE_40_length_40978_cov_26.731327	6900	9887	+	1781.2	879
1682at1763	Complete	NODE_31_length_56331_cov_26.469691	48403	52605	+	2584.3	1356
1900at1763	Complete	NODE_68_length_19625_cov_26.224422	17737	15026	-	1783.6	879
2120at1763	Complete	NODE_26_length_61803_cov_25.397466	14439	16808	+	1491.6	759
2606at1763	Complete	NODE_19_length_70437_cov_26.982248	63429	65681	+	1474.6	707
2789at1763	Complete	NODE_18_length_71476_cov_28.439264	19352	20227	+	518.7	279
2821at1763	Complete	NODE_39_length_44529_cov_27.423378	38231	40297	+	1405.6	678
3473at1763	Complete	NODE_9_length_97919_cov_26.930510	85454	83196	-	1479.6	716
4115at1763	Complete	NODE_21_length_66119_cov_27.177084	38003	40396	+	1541.6	780
7060at1763	Complete	NODE_36_length_47284_cov_27.552799	16210	17838	+	1170.5	535
7316at1763	Complete	NODE_11_length_86115_cov_26.384342	38159	39961	+	1256.0	581
7405at1763	Complete	NODE_24_length_64205_cov_27.166604	35969	34419	-	1122.2	512
7932at1763	Complete	NODE_72_length_18043_cov_22.258433	14303	12621	-	1144.2	554
9075at1763	Complete	NODE_55_length_26647_cov_25.525932	12673	11048	-	843.9	518
9255at1763	Complete	NODE_5_length_106117_cov_26.441098	64710	63013	-	941.0	505
9767at1763	Complete	NODE_83_length_13435_cov_27.446399	10683	12173	+	916.2	481
10105at1763	Complete	NODE_17_length_72330_cov_27.105089	50195	48678	-	1013.0	502
10158at1763	Complete	NODE_81_length_13938_cov_26.976336	8259	6754	-	939.8	483
10607at1763	Complete	NODE_53_length_27610_cov_27.571605	4815	6467	+	1113.7	549
11262at1763	Complete	NODE_3_length_131980_cov_26.711379	41328	42740	+	906.7	441
11571at1763	Complete	NODE_42_length_39325_cov_26.288626	12650	11232	-	976.3	472
12199at1763	Complete	NODE_14_length_81223_cov_26.429843	79508	81031	+	953.6	480
12249at1763	Complete	NODE_18_length_71476_cov_28.439264	17964	19265	+	967.0	432
12580at1763	Complete	NODE_50_length_29790_cov_26.176118	13309	15111	+	1071.1	574
